# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = model_model
# method = sample (Default)
#   sample
#     num_samples = 200
#     num_warmup = 200
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.98999999999999999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 11
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 0.025000000000000001
#         stepsize_jitter = 0 (Default)
# id = 4
# data
#   file = ./maud_output-G6Pto6PGC-20210910214754/samples/input_data.json
# init = ./maud_output-G6Pto6PGC-20210910214754/samples/inits.json
# random
#   seed = 28165
# output
#   file = /home/shannara/models/maud_output-G6Pto6PGC-20210910214754/samples/model-202109102147-4.csv
#   diagnostic_file =  (Default)
#   refresh = 1
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 ea3a31b
# stancflags = --include_paths=/home/shannara/Maud/src/maud,/home/shannara/Maud/src/maud
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,dgf_z.1,dgf_z.2,dgf_z.3,dgf_z.4,dgf_z.5,drain_z.1.1,drain_z.2.1,drain_z.3.1,drain_z.4.1,drain_z.5.1,drain_z.1.2,drain_z.2.2,drain_z.3.2,drain_z.4.2,drain_z.5.2,log_kcat_z.1,log_kcat_z.2,log_km_z.1,log_km_z.2,log_km_z.3,log_conc_enzyme_z.1.1,log_conc_enzyme_z.2.1,log_conc_enzyme_z.3.1,log_conc_enzyme_z.4.1,log_conc_enzyme_z.5.1,log_conc_enzyme_z.1.2,log_conc_enzyme_z.2.2,log_conc_enzyme_z.3.2,log_conc_enzyme_z.4.2,log_conc_enzyme_z.5.2,log_conc_unbalanced_z.1.1,log_conc_unbalanced_z.2.1,log_conc_unbalanced_z.3.1,log_conc_unbalanced_z.4.1,log_conc_unbalanced_z.5.1,log_conc_unbalanced_z.1.2,log_conc_unbalanced_z.2.2,log_conc_unbalanced_z.3.2,log_conc_unbalanced_z.4.2,log_conc_unbalanced_z.5.2,log_conc_unbalanced_z.1.3,log_conc_unbalanced_z.2.3,log_conc_unbalanced_z.3.3,log_conc_unbalanced_z.4.3,log_conc_unbalanced_z.5.3,log_diss_t_z.1,log_transfer_constant_z.1,dgf.1,dgf.2,dgf.3,dgf.4,dgf.5,km.1,km.2,km.3,kcat.1,kcat.2,diss_t.1,transfer_constant.1,drain.1.1,drain.2.1,drain.3.1,drain.4.1,drain.5.1,drain.1.2,drain.2.2,drain.3.2,drain.4.2,drain.5.2,conc_enzyme.1.1,conc_enzyme.2.1,conc_enzyme.3.1,conc_enzyme.4.1,conc_enzyme.5.1,conc_enzyme.1.2,conc_enzyme.2.2,conc_enzyme.3.2,conc_enzyme.4.2,conc_enzyme.5.2,conc_unbalanced.1.1,conc_unbalanced.2.1,conc_unbalanced.3.1,conc_unbalanced.4.1,conc_unbalanced.5.1,conc_unbalanced.1.2,conc_unbalanced.2.2,conc_unbalanced.3.2,conc_unbalanced.4.2,conc_unbalanced.5.2,conc_unbalanced.1.3,conc_unbalanced.2.3,conc_unbalanced.3.3,conc_unbalanced.4.3,conc_unbalanced.5.3,conc.1.1,conc.2.1,conc.3.1,conc.4.1,conc.5.1,conc.1.2,conc.2.2,conc.3.2,conc.4.2,conc.5.2,conc.1.3,conc.2.3,conc.3.3,conc.4.3,conc.5.3,conc.1.4,conc.2.4,conc.3.4,conc.4.4,conc.5.4,conc.1.5,conc.2.5,conc.3.5,conc.4.5,conc.5.5,flux.1.1,flux.2.1,flux.3.1,flux.4.1,flux.5.1,flux.1.2,flux.2.2,flux.3.2,flux.4.2,flux.5.2,flux.1.3,flux.2.3,flux.3.3,flux.4.3,flux.5.3,flux.1.4,flux.2.4,flux.3.4,flux.4.4,flux.5.4,keq.1,keq.2,keq.3,keq.4,yconc_sim.1,yconc_sim.2,yconc_sim.3,yconc_sim.4,yconc_sim.5,yflux_sim.1,yflux_sim.2,yflux_sim.3,yflux_sim.4,yflux_sim.5,log_lik_conc.1,log_lik_conc.2,log_lik_conc.3,log_lik_conc.4,log_lik_conc.5,log_lik_flux.1,log_lik_flux.2,log_lik_flux.3,log_lik_flux.4,log_lik_flux.5
-45.2732,0.928733,0.2,4,15,0,67.6338,-1.01717,-0.350806,-1.38158,-1.65896,-1.35971,1.25356,0.149394,0.292141,-0.15625,0.61879,0.754814,-0.0518933,-0.561056,0.76287,-1.11458,-0.301531,0.338304,0.230174,-1.05657,-0.648938,-0.41971,2.34035,-0.839967,1.16293,-0.922378,-1.74597,2.11132,0.491355,-2.12443,0.591419,-2.80576,1.51465,1.92283,1.12648,-0.213557,-1.60423,-0.185001,0.694339,0.274163,1.16998,-1.21687,0.783462,-0.289449,-0.282609,0.835371,-1.75537,-0.557846,-1556.44,-1378.72,-1306.5,-2055.83,-1985.62,0.182197,0.0060714,0.0202005,163.817,505.041,0.0140786,44.7215,0.00349904,0.438195,0.074934,0.0728848,0.304999,0.179499,2.02993,1.032,0.758964,0.62203,0.010338,0.0324832,0.0118949,0.0115613,0.0119201,0.00371261,0.0152141,0.00896563,0.00656398,0.0106697,1.22539,22.0094,8.09589,2.36014,2.41093,0.61287,0.950152,1.6558,1.08946,1.93879,0.0248716,0.0380946,0.0124267,0.01914,0.0463907,1.71589,6.77815,2.78645,0.859321,1.35272,0.00218475,0.00955921,0.00653611,0.00676687,0.00419722,1.22539,22.0094,8.09589,2.36014,2.41093,0.61287,0.950152,1.6558,1.08946,1.93879,0.0248716,0.0380946,0.0124267,0.01914,0.0463907,0.00349903,0.438195,0.074934,0.0728847,0.304999,0.182998,2.46812,1.10693,0.831848,0.927029,0.179499,2.02993,1.032,0.758963,0.622029,0.182998,2.46812,1.10693,0.831848,0.927029,2.25102,3355.41,2.03294e-273,2.03294e-273,1.27176,5.60639,4.08676,1.07364,1.26426,0.18102,2.47089,1.07108,0.82758,0.783873,-2.95067,-2.64822,-1.86913,0.782148,-0.953255,3.46749,3.77965,1.49715,2.79844,1.61114
-43.5776,0.905931,0.223646,4,15,0,64.7064,1.45565,-0.317614,-1.19794,-0.761878,-1.10744,-0.416471,0.414646,-0.172197,-1.22192,0.772425,2.315,-0.30919,0.94209,1.2902,-0.410027,0.709565,0.977065,0.644739,-0.23936,0.0129704,-0.488401,2.20017,0.759357,1.01487,-0.574475,-0.746736,1.86455,0.90776,-1.52387,0.11472,-1.55454,2.12974,1.73949,-0.599729,-1.05421,-1.95381,0.200682,0.468218,-0.95909,0.439923,0.277215,0.46207,-0.181647,1.86857,-0.804942,-2.41604,-1.21999,-1550.51,-1378.62,-1306.26,-2043.81,-1982.24,0.197948,0.00714942,0.0230597,200.531,573.864,0.012336,39.1745,-0.00079221,0.44442,0.0550569,0.0403145,0.312659,0.185908,2.02389,1.12177,0.762913,0.651853,0.0102555,0.0318115,0.0172685,0.0114545,0.012696,0.00415979,0.0144739,0.0095039,0.00678332,0.00973776,1.55162,26.22,7.91112,1.69152,1.82469,0.572308,1.01836,1.60967,0.960057,1.63883,0.0339962,0.0362832,0.0126173,0.0245494,0.0304817,1.95721,9.31448,5.40811,0.614369,1.00324,0.00193853,0.00975014,0.00634476,0.00599526,0.00481036,1.55162,26.22,7.91112,1.69152,1.82469,0.572308,1.01836,1.60967,0.960057,1.63883,0.0339962,0.0362832,0.0126173,0.0245494,0.0304817,-0.000792209,0.44442,0.0550569,0.0403144,0.312658,0.185116,2.46831,1.17682,0.803227,0.96451,0.185908,2.02389,1.12177,0.762912,0.651852,0.185116,2.46831,1.17682,0.803227,0.96451,77.8369,318.292,2.22797e-272,2.22797e-272,1.6744,10.4018,7.12061,0.484214,0.693641,0.184471,2.46179,1.18918,0.827535,0.924962,-3.97762,-1.24659,-1.64117,-0.336682,-0.222742,4.41164,3.75376,2.20047,2.41805,1.43928
-45.2717,0.993944,0.177488,5,31,0,67.7007,-0.0233181,0.722237,-0.223367,-0.381152,-0.384992,0.884852,0.152797,0.537361,0.72024,-0.813098,2.09425,-0.0276962,-0.00308276,-0.711229,0.332162,-0.165907,-1.27467,-0.309394,-0.0260157,0.646387,-1.37965,1.16465,0.22897,0.714155,-2.08862,1.49643,-1.08822,0.238199,0.831588,-0.116482,-1.8565,1.20458,-2.09389,1.377,-0.287306,-1.83563,1.85161,-1.44088,-0.276882,0.298663,-1.34468,0.900957,1.26955,-3.3855,2.30378,-0.0311886,0.346415,-1554.06,-1375.61,-1304.99,-2038.71,-1972.56,0.163559,0.00746108,0.0261741,168.321,365.785,0.0198756,53.587,0.00255162,0.438275,0.0854313,0.099673,0.233615,0.185001,2.0305,1.06532,0.747924,0.683268,0.00924229,0.027261,0.0152604,0.0112407,0.00964884,0.00536972,0.00796843,0.0086534,0.00771665,0.00931552,1.4657,20.1505,4.88209,2.47704,2.35272,0.585711,1.37021,1.26806,1.02961,1.58639,0.0242155,0.0387792,0.0154859,0.0133664,0.0675627,1.85065,7.07165,2.22407,0.878148,0.770554,0.00276314,0.144897,0.0149514,0.0112328,0.0096357,1.4657,20.1505,4.88209,2.47704,2.35272,0.585711,1.37021,1.26806,1.02961,1.58639,0.0242155,0.0387792,0.0154859,0.0133664,0.0675627,0.00255162,0.438275,0.0854312,0.0996729,0.233615,0.187553,2.46877,1.15075,0.847596,0.916882,0.185001,2.0305,1.06532,0.747923,0.683267,0.187553,2.46877,1.15075,0.847596,0.916882,6.06119,4498.25,5.32139e-273,5.32139e-273,1.25741,8.04946,2.89498,0.478538,1.36258,0.189929,2.47837,1.1432,0.869491,0.892684,-3.52441,-2.06713,-3.35507,0.77057,0.139424,4.87857,3.68502,2.31812,2.35616,1.61898
-41.5987,0.8,0.171519,2,5,1,62.2265,0.0326122,1.05932,-0.230863,-0.356099,-0.461185,0.4073,-0.0993152,0.158249,0.485783,-0.924092,1.93052,-0.0676908,-0.0549705,-1.03105,0.396526,0.154289,-0.860678,-0.488112,0.381534,1.07285,-1.30656,1.3349,0.454904,0.965977,-2.29157,1.26183,-0.303088,0.267528,0.849724,-0.380082,-1.64722,1.72547,-1.55945,0.746553,0.146311,-2.32965,1.8144,-1.84308,-0.0407897,0.549299,-1.1113,0.830535,1.21701,-3.33031,1.91511,-0.390344,0.273608,-1553.92,-1374.63,-1305,-2038.37,-1973.58,0.157817,0.0080947,0.0285046,179.453,397.36,0.018498,52.8123,0.00132452,0.432358,0.0692025,0.0925073,0.228081,0.184328,2.02956,1.06222,0.745529,0.685993,0.00932148,0.0279617,0.0160856,0.0114195,0.00930036,0.00522824,0.00933891,0.00868901,0.00772431,0.0088564,1.52473,23.3704,5.22194,2.19331,2.71631,0.531689,1.36107,1.20591,1.05484,1.68062,0.025427,0.0383674,0.0153714,0.013452,0.0611631,1.73521,8.92466,2.5958,0.847463,0.936109,0.00279725,0.0561859,0.0138938,0.0107058,0.0100016,1.52473,23.3704,5.22194,2.19331,2.71631,0.531689,1.36107,1.20591,1.05484,1.68062,0.025427,0.0383674,0.0153714,0.013452,0.0611631,0.00132452,0.432358,0.0692025,0.0925072,0.228081,0.185653,2.46192,1.13142,0.838035,0.914073,0.184328,2.02956,1.06222,0.745528,0.685992,0.185653,2.46192,1.13142,0.838035,0.914073,7.03522,6321.12,5.6175e-273,5.6175e-273,1.81236,10.4289,4.67319,1.04992,0.811739,0.181848,2.44993,1.07095,0.854341,0.941319,-3.03286,-1.03808,-2.25927,0.784219,-0.102011,4.57154,4.14504,2.11347,2.67984,1.61823
-46.0827,0.99046,0.0969918,5,31,0,67.8029,-0.51428,0.752221,-0.196867,-0.325812,-2.00889,2.14288,-0.159884,-0.501383,-0.579554,1.60381,0.7304,0.0213369,0.815174,0.710414,-0.83279,1.94694,1.55731,2.12229,0.615319,-1.51079,-1.03381,2.24606,0.553864,-1.45349,0.160174,-0.296295,1.10458,-2.25935,0.880997,-0.422199,-0.279177,0.736504,0.965377,1.03904,0.0643245,-1.49794,1.63008,1.97936,0.400298,-2.30622,-0.579089,-0.000633012,-0.763198,-1.09391,1.30588,-1.22128,-0.452328,-1555.23,-1375.52,-1304.96,-2037.97,-1994.32,0.266005,0.00848217,0.0170021,256.838,644.478,0.0156658,45.6753,0.00578419,0.430937,0.0409653,0.0599473,0.354106,0.179398,2.03165,1.11419,0.758571,0.633958,0.00962299,0.0320298,0.0164609,0.00981323,0.0145043,0.00437862,0.0124128,0.00609978,0.00773755,0.00878517,1.97368,17.6373,7.17637,2.32066,2.6435,0.625763,1.31672,1.94419,1.10364,0.870874,0.0284212,0.0338255,0.0116228,0.0174249,0.0523296,2.27409,8.17071,5.53752,0.745867,0.914826,0.00119408,0.00756143,0.00707488,0.00333876,0.00359433,1.97368,17.6373,7.17637,2.32066,2.6435,0.625763,1.31672,1.94419,1.10364,0.870874,0.0284212,0.0338255,0.0116228,0.0174249,0.0523296,0.00578419,0.430937,0.0409653,0.0599472,0.354106,0.185183,2.46258,1.15515,0.818517,0.988063,0.179398,2.03165,1.11419,0.75857,0.633957,0.185183,2.46258,1.15515,0.818517,0.988063,51967.3,7494.12,3.30813e-273,3.30813e-273,1.77,9.12381,5.05723,0.760926,0.731236,0.186633,2.4719,1.19704,0.818554,0.909228,-5.31142,-0.997946,-1.74723,0.607432,-0.0659646,4.43334,4.15278,2.32998,2.81134,1.21621
-42.0117,0.96848,0.0932059,5,31,0,72.4158,0.631481,-0.286753,-0.319261,0.348532,1.72898,0.633512,0.226237,0.0104002,-0.186715,-0.652878,1.3736,-0.191581,-0.531408,-0.332855,0.05499,-0.877328,-1.48271,-0.647182,-0.430991,1.64131,-1.85831,1.24595,0.554692,1.11624,-3.22696,1.64154,0.316316,0.310081,-0.571211,-0.386702,-0.400121,2.04573,-0.0920137,0.78905,0.884511,-3.11737,1.53109,-1.15514,0.761054,1.34564,0.816512,-0.100511,0.809975,0.34526,0.4371,0.906718,1.46366,-1552.48,-1378.53,-1305.12,-2028.93,-1944.23,0.152875,0.00688059,0.0319367,145.998,350.877,0.0239765,67.0042,0.00190579,0.439998,0.0628735,0.0719537,0.241602,0.182041,2.02665,1.03377,0.750758,0.671536,0.00874013,0.0275934,0.0164641,0.0115275,0.00784995,0.00545915,0.0105845,0.00874093,0.00714637,0.00884517,1.92916,25.6005,6.28175,2.21137,3.46919,0.455667,1.29349,1.31415,1.14522,2.01881,0.0380558,0.0333173,0.0145131,0.0205822,0.0418934,1.72289,6.9817,3.23983,0.811805,0.470337,0.00339271,0.0631617,0.017775,0.0155952,0.0133136,1.92916,25.6005,6.28175,2.21137,3.46919,0.455667,1.29349,1.31415,1.14522,2.01881,0.0380558,0.0333173,0.0145131,0.0205822,0.0418934,0.00190578,0.439998,0.0628734,0.0719536,0.241602,0.183946,2.46665,1.09664,0.82271,0.913137,0.182041,2.02665,1.03377,0.750757,0.671535,0.183946,2.46665,1.09664,0.82271,0.913137,0.0105551,732.92,1.00313e-272,1.00313e-272,2.3533,6.41002,4.08456,0.681376,0.410808,0.188187,2.4755,1.10941,0.831442,0.918828,-2.98043,-2.22982,-1.27419,0.764144,0.104741,3.95234,3.95534,1.11917,2.84301,1.6177
-42.47,0.981085,0.0849702,6,63,0,65.9493,-1.2397,0.194602,-0.0148548,1.19588,-0.857301,2.66366,-1.59833,0.150016,-0.41395,-0.444899,0.741728,1.32374,1.16674,1.34925,0.511314,1.31631,0.52034,1.67587,0.660439,-0.583317,-0.558931,2.18449,1.81883,1.52407,-0.666615,1.42228,0.133201,-1.07981,1.67081,-1.77881,-0.560219,1.65819,-0.405728,-0.000111157,-0.172157,-2.44466,1.57145,-0.403795,0.555011,-0.219106,-1.71488,0.0503839,-0.269368,1.51774,-0.909316,-0.439864,1.11071,-1556.98,-1377.14,-1304.72,-2017.58,-1978.89,0.243284,0.00855906,0.0204673,226.403,523.767,0.0183157,62.4374,0.00712237,0.397179,0.0688501,0.0650087,0.251971,0.179445,2.06222,1.13518,0.763355,0.690852,0.0101714,0.0317372,0.0221055,0.0118259,0.0124857,0.0053246,0.0101999,0.00719516,0.00807935,0.00677309,1.87176,22.9271,6.03844,1.89901,2.44424,0.519845,1.30291,1.4435,1.12128,1.40812,0.0224111,0.0340881,0.012462,0.0235728,0.0296779,1.5162,7.99574,3.80085,0.610262,0.899065,0.00146738,0.0174603,0.00960924,0.0049817,0.00740855,1.87176,22.9271,6.03844,1.89901,2.44424,0.519845,1.30291,1.4435,1.12128,1.40812,0.0224111,0.0340881,0.012462,0.0235728,0.0296779,0.00712237,0.397178,0.06885,0.0650085,0.251971,0.186567,2.4594,1.20403,0.828363,0.942821,0.179445,2.06222,1.13518,0.763354,0.690851,0.186567,2.4594,1.20403,0.828363,0.942821,811667,7878.29,1.6389e-273,1.6389e-273,1.537,8.79681,4.14434,0.692961,1.45263,0.18843,2.45329,1.1912,0.820107,0.964083,-2.10662,-1.06841,-0.992545,-0.383905,-0.0400615,4.7696,4.01421,1.59548,2.83381,1.56615
-36.0188,0.987637,0.0811785,6,63,0,57.8064,-0.476918,-0.877283,-0.263005,-0.647803,1.15071,-0.0301983,-0.300866,0.475663,-0.159417,-0.624871,1.75849,0.33663,-0.251695,-0.641959,0.917032,0.89052,-0.585567,-0.724235,0.245791,1.8961,-0.728002,1.04476,-0.522762,-0.360762,-0.943206,-0.183142,1.12676,-0.0198692,-1.30029,0.647423,-2.40542,1.37238,-0.680113,0.672381,-1.7138,-0.562525,0.0357702,0.762876,0.699456,1.36496,-0.581467,0.265152,-0.484829,-1.48702,-0.765866,-0.907597,0.598521,-1555.14,-1380.24,-1305.04,-2042.28,-1951.98,0.150537,0.0078779,0.0336063,207.921,419.837,0.01668,56.3582,0.000200341,0.427628,0.0827901,0.072788,0.242999,0.183622,2.03905,1.05047,0.748443,0.708025,0.00997264,0.026778,0.0128077,0.0105086,0.0118752,0.00443538,0.0124686,0.0083463,0.00686683,0.0107849,1.32152,21.1361,5.83337,2.16214,1.46641,0.751595,0.988617,1.67004,1.13801,2.02781,0.028407,0.0352161,0.0120886,0.0166501,0.0307882,2.50043,6.46028,3.19064,0.955743,1.08856,0.00368083,0.0299471,0.016064,0.0133862,0.00893526,1.32152,21.1361,5.83337,2.16214,1.46641,0.751595,0.988617,1.67004,1.13801,2.02781,0.028407,0.0352161,0.0120886,0.0166501,0.0307882,0.000200341,0.427628,0.0827901,0.0727879,0.242998,0.183822,2.46668,1.13326,0.82123,0.951023,0.183622,2.03905,1.05047,0.748442,0.708024,0.183822,2.46668,1.13326,0.82123,0.951023,0.00226374,1074.19,3.42999e-273,3.42999e-273,2.53739,5.23485,2.99469,0.938753,1.96256,0.185171,2.46212,1.09966,0.832482,1.12017,-6.24415,-3.45326,-1.31999,0.62782,-0.388465,3.89454,3.9523,2.14364,2.83557,1.52703
-40.5364,0.997511,0.0797076,6,63,0,58.4983,1.40425,0.483235,-0.862008,-0.75724,1.596,1.88252,-0.572996,0.767222,0.753111,-1.61434,1.75712,0.520453,-0.384243,-0.749877,1.40966,0.544006,1.08672,-0.561769,1.88408,-1.48372,-0.46246,1.29479,1.19911,0.0440475,-0.571104,-0.102326,-0.815947,-2.52808,-0.503326,-0.462404,-1.25136,1.25289,-0.406095,1.09612,0.879179,-1.09447,1.29991,-0.80711,-0.387504,-0.790598,-0.161891,0.737323,-0.756835,-0.546579,-0.710688,0.26347,0.529396,-1550.63,-1376.3,-1305.82,-2043.75,-1946.01,0.155509,0.0109323,0.0170944,194,586.589,0.0210821,55.5844,0.00511519,0.421242,0.095271,0.100678,0.19367,0.183616,2.04336,1.04256,0.747635,0.728877,0.0102866,0.027795,0.0191324,0.0107786,0.0127038,0.00447636,0.00841927,0.00587454,0.00717298,0.00871771,1.64295,20.4294,6.03816,2.34636,3.46307,0.677224,1.24084,1.37256,1.018,1.23452,0.0310128,0.0378291,0.0116332,0.0185642,0.0312263,2.32752,6.60361,4.09872,0.718153,1.52147,0.00132383,0.0170292,0.00842701,0.00431681,0.00376276,1.64295,20.4294,6.03816,2.34636,3.46307,0.677224,1.24084,1.37256,1.018,1.23452,0.0310128,0.0378291,0.0116332,0.0185642,0.0312263,0.00511519,0.421242,0.095271,0.100678,0.19367,0.188731,2.46461,1.13783,0.848311,0.922547,0.183616,2.04336,1.04256,0.747634,0.728877,0.188731,2.46461,1.13783,0.848311,0.922547,1.67797e-05,853.765,2.11981e-272,2.11981e-272,1.78765,6.88883,4.53829,0.687845,1.8727,0.187736,2.4673,1.15245,0.845705,1.04911,-5.53329,-3.06615,-0.984239,0.487116,-1.33384,4.86659,4.10699,2.2088,2.32511,1.61663
-46.0865,0.995789,0.0811708,6,63,0,63.7709,-1.01833,0.211074,1.75211,-0.115037,-0.825941,1.06038,1.07968,-1.541,-0.795214,1.2198,1.63997,-1.15149,0.795906,0.88827,-0.944512,1.30828,-1.75635,1.44735,-0.521674,0.288134,-1.6924,1.87549,0.0740967,1.25624,-0.421802,0.613293,0.616476,3.19638,2.08076,0.921739,-2.20678,0.919819,1.73997,-0.068808,-2.49075,-1.85074,0.894207,0.716588,-1.26164,0.364612,0.12693,0.337875,0.319681,-0.12977,0.721209,-0.7333,0.543637,-1556.44,-1377.09,-1302.42,-2035.14,-1978.47,0.232415,0.00675693,0.0243643,226.04,332.191,0.0172718,55.7429,0.00300264,0.460027,-0.00353809,0.053356,0.334962,0.183135,2.00411,1.11304,0.759903,0.629229,0.00891102,0.0303084,0.0147193,0.0116291,0.0130522,0.00485622,0.0112466,0.0130939,0.00826267,0.0113673,1.37198,18.5819,7.9116,1.874,1.13352,0.58398,1.15357,1.66041,0.930734,1.61066,0.0329441,0.0356065,0.0135426,0.0194815,0.0450543,1.50636,7.43391,5.07633,0.705428,0.649067,0.00317796,0.0472039,0.00834284,0.0102585,0.00835434,1.37198,18.5819,7.9116,1.874,1.13352,0.58398,1.15357,1.66041,0.930734,1.61066,0.0329441,0.0356065,0.0135426,0.0194815,0.0450543,0.00300264,0.460027,-0.00353809,0.053356,0.334962,0.186137,2.46414,1.1095,0.813258,0.964189,0.183135,2.00411,1.11304,0.759902,0.629228,0.186137,2.46414,1.1095,0.813258,0.964189,1419.69,6482.11,2.03066e-273,2.03066e-273,2.53643,6.02191,6.12411,0.707294,0.677886,0.179762,2.4714,1.07191,0.83592,0.947519,-2.06547,-1.53802,-1.39592,0.419518,0.232612,4.68812,4.12674,1.58048,2.72526,1.44171
