# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = model_model
# method = sample (Default)
#   sample
#     num_samples = 200
#     num_warmup = 200
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.98999999999999999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 11
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 0.025000000000000001
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = ./maud_output-G6Pto6PGC-20210910214754/samples/input_data.json
# init = ./maud_output-G6Pto6PGC-20210910214754/samples/inits.json
# random
#   seed = 28165
# output
#   file = /home/shannara/models/maud_output-G6Pto6PGC-20210910214754/samples/model-202109102147-1.csv
#   diagnostic_file =  (Default)
#   refresh = 1
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 ea3a31b
# stancflags = --include_paths=/home/shannara/Maud/src/maud,/home/shannara/Maud/src/maud
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,dgf_z.1,dgf_z.2,dgf_z.3,dgf_z.4,dgf_z.5,drain_z.1.1,drain_z.2.1,drain_z.3.1,drain_z.4.1,drain_z.5.1,drain_z.1.2,drain_z.2.2,drain_z.3.2,drain_z.4.2,drain_z.5.2,log_kcat_z.1,log_kcat_z.2,log_km_z.1,log_km_z.2,log_km_z.3,log_conc_enzyme_z.1.1,log_conc_enzyme_z.2.1,log_conc_enzyme_z.3.1,log_conc_enzyme_z.4.1,log_conc_enzyme_z.5.1,log_conc_enzyme_z.1.2,log_conc_enzyme_z.2.2,log_conc_enzyme_z.3.2,log_conc_enzyme_z.4.2,log_conc_enzyme_z.5.2,log_conc_unbalanced_z.1.1,log_conc_unbalanced_z.2.1,log_conc_unbalanced_z.3.1,log_conc_unbalanced_z.4.1,log_conc_unbalanced_z.5.1,log_conc_unbalanced_z.1.2,log_conc_unbalanced_z.2.2,log_conc_unbalanced_z.3.2,log_conc_unbalanced_z.4.2,log_conc_unbalanced_z.5.2,log_conc_unbalanced_z.1.3,log_conc_unbalanced_z.2.3,log_conc_unbalanced_z.3.3,log_conc_unbalanced_z.4.3,log_conc_unbalanced_z.5.3,log_diss_t_z.1,log_transfer_constant_z.1,dgf.1,dgf.2,dgf.3,dgf.4,dgf.5,km.1,km.2,km.3,kcat.1,kcat.2,diss_t.1,transfer_constant.1,drain.1.1,drain.2.1,drain.3.1,drain.4.1,drain.5.1,drain.1.2,drain.2.2,drain.3.2,drain.4.2,drain.5.2,conc_enzyme.1.1,conc_enzyme.2.1,conc_enzyme.3.1,conc_enzyme.4.1,conc_enzyme.5.1,conc_enzyme.1.2,conc_enzyme.2.2,conc_enzyme.3.2,conc_enzyme.4.2,conc_enzyme.5.2,conc_unbalanced.1.1,conc_unbalanced.2.1,conc_unbalanced.3.1,conc_unbalanced.4.1,conc_unbalanced.5.1,conc_unbalanced.1.2,conc_unbalanced.2.2,conc_unbalanced.3.2,conc_unbalanced.4.2,conc_unbalanced.5.2,conc_unbalanced.1.3,conc_unbalanced.2.3,conc_unbalanced.3.3,conc_unbalanced.4.3,conc_unbalanced.5.3,conc.1.1,conc.2.1,conc.3.1,conc.4.1,conc.5.1,conc.1.2,conc.2.2,conc.3.2,conc.4.2,conc.5.2,conc.1.3,conc.2.3,conc.3.3,conc.4.3,conc.5.3,conc.1.4,conc.2.4,conc.3.4,conc.4.4,conc.5.4,conc.1.5,conc.2.5,conc.3.5,conc.4.5,conc.5.5,flux.1.1,flux.2.1,flux.3.1,flux.4.1,flux.5.1,flux.1.2,flux.2.2,flux.3.2,flux.4.2,flux.5.2,flux.1.3,flux.2.3,flux.3.3,flux.4.3,flux.5.3,flux.1.4,flux.2.4,flux.3.4,flux.4.4,flux.5.4,keq.1,keq.2,keq.3,keq.4,yconc_sim.1,yconc_sim.2,yconc_sim.3,yconc_sim.4,yconc_sim.5,yflux_sim.1,yflux_sim.2,yflux_sim.3,yflux_sim.4,yflux_sim.5,log_lik_conc.1,log_lik_conc.2,log_lik_conc.3,log_lik_conc.4,log_lik_conc.5,log_lik_flux.1,log_lik_flux.2,log_lik_flux.3,log_lik_flux.4,log_lik_flux.5
-41.5637,1.13059e-05,0.4,1,3,1,70.7477,1.3125,0.237931,0.0230769,0.14403,0.837313,-0.571945,0.201801,0.909229,-0.549678,-0.697678,2.68285,-0.335078,0.858234,0.0694975,0.724066,0.764715,0.498335,0.298496,0.556347,-1.40254,-1.25019,-0.210025,0.298745,-0.74648,-0.683973,0.151006,-0.0748987,1.13149,0.0112048,0.743533,-0.678462,2.73049,-1.22629,0.523802,-1.02897,-1.79655,1.0319,2.91091,-0.343155,-2.25925,0.080436,1.05511,1.10627,-1.53204,-0.142574,-0.679013,0.106361,-1550.85,-1377.01,-1304.67,-2031.67,-1956.18,0.184704,0.00838272,0.0173742,202.755,521.467,0.0174603,51.075,-0.00119171,0.439425,0.10135,0.0608604,0.239369,0.187419,2.02328,1.11676,0.753771,0.699857,0.009383,0.0222096,0.0155106,0.0102577,0.0124465,0.00460731,0.00977975,0.00980632,0.00737784,0.0109855,1.83047,31.1087,5.44567,2.10103,1.84002,0.590212,1.18248,2.18418,1.02264,0.880343,0.0326253,0.039696,0.015133,0.0165636,0.0361152,2.15302,6.60557,4.03697,0.673364,0.546204,0.00145987,0.0162251,0.00543277,0.00466703,0.0034072,1.83047,31.1087,5.44567,2.10103,1.84002,0.590212,1.18248,2.18418,1.02264,0.880343,0.0326253,0.039696,0.015133,0.0165636,0.0361152,-0.00119171,0.439425,0.10135,0.0608603,0.239369,0.186227,2.4627,1.21811,0.81463,0.939224,0.187419,2.02328,1.11676,0.75377,0.699856,0.186227,2.4627,1.21811,0.81463,0.939224,0.280616,700.299,1.93962e-272,1.93962e-272,1.94005,7.49588,5.63184,0.500605,1.02793,0.185834,2.46319,1.11506,0.818561,0.929485,-4.80507,-3.06115,-0.979478,0.211186,0.21325,4.70684,4.15296,1.08923,2.7527,1.57991
-43.5157,0.994563,0.0413256,7,127,0,67.3991,-1.37771,-0.28482,-0.0422461,-0.118692,-0.820145,2.59633,-0.42535,0.239582,-0.398015,0.0775559,0.461338,0.113304,0.728558,-0.303062,-1.25018,0.772931,-0.438967,0.60922,0.278806,1.39792,-1.04378,3.48811,2.34384,1.0439,-1.36388,-0.181714,0.0764251,-1.07285,0.0173941,-0.797021,-2.63785,0.598838,1.87049,0.0712943,-1.1099,-1.56768,1.10156,-2.302,0.705962,0.850784,-0.142654,-1.0476,-1.08163,1.53867,0.0423462,-0.214259,0.779242,-1557.31,-1378.53,-1304.75,-2035.19,-1978.39,0.196547,0.00793009,0.0304193,203.088,432.328,0.0191611,58.4324,0.00694937,0.424707,0.0726841,0.0654957,0.278017,0.178293,2.03381,1.10902,0.750981,0.616291,0.00961179,0.0385451,0.024983,0.0114754,0.0110034,0.0044361,0.0100835,0.00720218,0.00738034,0.00817597,1.26482,16.9597,8.0427,1.92535,1.79132,0.617273,1.19738,1.13871,1.13877,1.80142,0.0311378,0.0288616,0.0111119,0.02363,0.0378662,1.51954,9.23389,6.26613,0.785599,0.920551,0.00325229,0.0393431,0.0186058,0.0104608,0.0103031,1.26482,16.9597,8.0427,1.92535,1.79132,0.617273,1.19738,1.13871,1.13877,1.80142,0.0311378,0.0288616,0.0111119,0.02363,0.0378662,0.00694936,0.424707,0.0726841,0.0654956,0.278017,0.185242,2.45851,1.1817,0.816476,0.894307,0.178293,2.03381,1.10902,0.75098,0.61629,0.185242,2.45851,1.1817,0.816476,0.894307,940.319,5138.95,1.43391e-273,1.43391e-273,1.56893,8.94466,3.95774,0.582904,1.04266,0.180661,2.47164,1.17264,0.843204,0.907081,-2.12059,-1.19422,-2.42966,0.721884,-0.0755437,4.4523,3.92951,2.1283,2.78405,1.57728
-38.9462,0.996811,0.0245029,7,127,0,62.5396,-1.24562,-0.264142,0.146308,0.404293,0.959937,2.21047,-0.317413,0.548076,-0.273489,0.332601,0.694242,0.685859,-0.80651,1.18894,-0.270064,0.505147,1.66535,0.515141,0.970032,-0.269616,0.0503809,1.59567,-0.148605,-0.369995,1.16884,-0.545223,0.290061,0.00890869,-0.344639,0.688373,-1.48192,1.7803,-1.0904,0.786324,-0.618765,-1.20124,0.622144,-1.4399,0.517053,-2.31637,0.966245,0.309526,0.43601,-0.577179,-1.64212,0.0471341,0.0058881,-1556.99,-1378.47,-1304.51,-2028.18,-1954.54,0.192883,0.00910578,0.0217926,192.498,658.556,0.0201894,50.0589,0.00595788,0.42724,0.08589,0.0693016,0.290732,0.17925,2.04725,1.01734,0.762155,0.657777,0.0109211,0.0290701,0.0139748,0.0105025,0.017414,0.0042563,0.0105285,0.00838,0.00723554,0.0108699,1.57302,23.7379,5.53965,2.2102,2.10796,0.663208,1.09851,1.26821,1.11693,0.868842,0.0392666,0.0354538,0.0137668,0.0184986,0.0246009,2.42642,7.43462,2.23218,0.736822,1.00229,0.00154181,0.0120933,0.005445,0.00460641,0.00332861,1.57302,23.7379,5.53965,2.2102,2.10796,0.663208,1.09851,1.26821,1.11693,0.868842,0.0392666,0.0354538,0.0137668,0.0184986,0.0246009,0.00595788,0.42724,0.0858899,0.0693015,0.290732,0.185208,2.47449,1.10323,0.831455,0.948508,0.17925,2.04725,1.01734,0.762154,0.657776,0.185208,2.47449,1.10323,0.831455,0.948508,1.13348,4632.73,1.62955e-273,1.62955e-273,1.61565,6.88697,2.7282,0.930285,1.65056,0.185298,2.47185,1.14345,0.81797,0.864407,-5.94132,-1.53716,-3.32537,0.572052,-0.220959,4.44136,2.38748,1.36924,2.80355,1.54017
-39.9837,0.981248,0.0184258,6,107,1,68.5921,-1.91482,-0.3378,0.45758,0.663659,1.30997,2.15607,-1.24655,0.800291,-0.667519,0.351231,1.47823,0.699518,-0.469013,1.43442,-0.414173,1.27852,1.00001,1.39554,0.605394,0.219864,-0.392747,1.78047,0.309959,-0.410136,2.02184,-0.0605838,-0.483711,-0.0306201,0.729652,0.664553,-1.63541,1.69409,-0.50361,0.555906,-0.606838,-1.34902,0.343596,-1.32051,0.387848,-2.67425,0.238713,1.07773,0.592291,-0.571779,-1.31881,-0.0622807,-0.0771336,-1558.6,-1378.68,-1304.11,-2024.71,-1949.85,0.23002,0.00846535,0.0240339,224.699,576.503,0.0197524,49.2346,0.00581809,0.405434,0.0966866,0.0572588,0.291661,0.182471,2.04757,1.0375,0.763993,0.651677,0.0103706,0.0298821,0.0155512,0.0104762,0.0203257,0.00449768,0.00900409,0.00833374,0.00767372,0.0108204,1.52813,23.1626,5.96447,2.11409,2.11631,0.644285,1.04486,1.28728,1.10223,0.800123,0.0337235,0.0398323,0.0140739,0.0185101,0.026724,2.25429,8.55251,3.20029,0.819955,1.27845,0.00188191,0.0215332,0.00742697,0.00547868,0.00428207,1.52813,23.1626,5.96447,2.11409,2.11631,0.644285,1.04486,1.28728,1.10223,0.800123,0.0337235,0.0398323,0.0140739,0.0185101,0.026724,0.00581808,0.405434,0.0966866,0.0572587,0.291661,0.188289,2.453,1.13418,0.821251,0.943337,0.18247,2.04757,1.03749,0.763992,0.651677,0.188289,2.453,1.13418,0.821251,0.943337,0.891017,8124.58,8.52468e-274,8.52468e-274,3.63853,8.91347,5.2455,0.724908,1.67528,0.188414,2.44752,1.09253,0.838667,0.896887,-5.2289,-0.95305,-1.31069,0.772379,-0.789174,4.88927,2.95595,2.15786,2.83571,1.564
-42.756,0.999942,0.0148859,8,255,0,59.3312,2.3281,0.316313,-0.91793,-1.08821,-1.15849,0.0828743,0.971538,-0.416902,0.717623,-1.01542,1.68581,-0.910142,0.638262,-1.79167,0.468083,0.0596053,-1.69064,-0.965203,0.216687,0.0839436,-1.68539,1.20961,0.309949,1.10204,-2.55705,0.373904,-0.153756,0.422087,-0.548582,0.487095,-1.67884,1.54082,0.778144,-0.390329,-0.396487,-2.04643,2.0045,1.60338,-0.577452,1.66894,-0.908604,-1.8464,-0.515848,0.526375,0.95064,-0.755663,0.142695,-1548.41,-1376.78,-1305.89,-2048.18,-1982.92,0.143454,0.00783218,0.0233894,176.087,336.585,0.0171947,51.4475,0.000490889,0.45749,0.0445818,0.099593,0.223528,0.183323,2.00978,1.10362,0.739832,0.689022,0.00891831,0.0274443,0.0155512,0.0115173,0.00886341,0.00472569,0.0096251,0.00887909,0.00715523,0.0104584,1.51566,22.174,7.00916,1.76127,2.26911,0.562019,1.40839,1.85497,0.998367,2.17481,0.0265282,0.0255701,0.0120358,0.0210181,0.0477802,1.86637,8.77646,5.24316,0.676407,0.927058,0.00305612,0.0747131,0.0145927,0.0125141,0.0081853,1.51566,22.174,7.00916,1.76127,2.26911,0.562019,1.40839,1.85497,0.998367,2.17481,0.0265282,0.0255701,0.0120358,0.0210181,0.0477802,0.000490888,0.45749,0.0445818,0.0995929,0.223528,0.183814,2.46727,1.1482,0.839424,0.912549,0.183323,2.00978,1.10362,0.739831,0.689021,0.183814,2.46727,1.1482,0.839424,0.912549,9.69568,287.12,5.18515e-272,5.18515e-272,1.6867,10.1686,4.33222,0.793422,0.728244,0.185627,2.46374,1.12293,0.861374,0.842857,-3.59134,-0.990041,-1.51414,0.233432,-0.086536,3.89074,3.88806,2.30536,2.64339,1.6173
-39.2342,0.999345,0.013563,8,255,0,63.444,-0.844341,0.446219,0.779135,-0.032999,1.22959,-0.646794,-1.4598,-0.323203,-0.672856,-0.0237933,2.83634,1.09791,0.142034,0.369578,-0.857175,1.77627,-0.36305,0.327319,1.11381,0.160562,0.40924,0.668846,0.194198,0.321587,-0.962565,-0.467815,-0.970872,-1.60728,-0.862975,-0.101742,-2.20266,1.93948,-0.294301,0.871733,-1.98332,-1.36014,0.661676,-2.10387,-0.601933,-0.464866,0.486184,0.41033,0.332029,-1.38727,0.292658,0.529595,0.95462,-1556.03,-1376.41,-1303.69,-2034.04,-1950.92,0.185772,0.00937143,0.0237506,248.218,438.943,0.0222346,60.5184,-0.00138404,0.40043,0.0485928,0.0570957,0.272964,0.18805,2.05692,1.07399,0.756018,0.632926,0.0113882,0.0253187,0.0151372,0.0109676,0.0118336,0.00429397,0.0081597,0.00668291,0.00703317,0.00934188,1.37304,24.838,6.12376,2.24693,1.34111,0.642883,1.10635,1.16725,0.995865,1.33066,0.0355151,0.0359997,0.0135662,0.0168434,0.0403724,2.58416,8.91683,3.45999,1.04273,0.767107,0.00261074,0.0519115,0.0147235,0.00849232,0.00673479,1.37304,24.838,6.12376,2.24693,1.34111,0.642883,1.10635,1.16725,0.995865,1.33066,0.0355151,0.0359997,0.0135662,0.0168434,0.0403724,-0.00138404,0.40043,0.0485928,0.0570956,0.272964,0.186665,2.45735,1.12258,0.813113,0.905889,0.188049,2.05692,1.07399,0.756018,0.632925,0.186665,2.45735,1.12258,0.813113,0.905889,0.0150632,7211.59,2.40324e-273,2.40324e-273,2.7998,8.04822,6.89823,1.00644,0.707514,0.185958,2.43946,1.10975,0.784785,0.855571,-6.58418,-1.03509,-1.11481,0.318922,0.143287,4.78531,3.78849,1.93695,2.72217,1.60886
-45.13,0.999703,0.0129014,8,255,0,64.1606,0.56987,-1.47158,-0.0293572,-0.0573892,1.07252,1.36006,-1.07432,0.763423,0.864038,1.42951,1.03635,1.11738,0.292323,-1.45113,0.297054,-0.434328,-0.237893,0.00200706,-1.01268,-0.636939,-0.818564,2.51288,1.30934,-0.158647,-1.23632,-0.504579,-1.19254,-0.278489,0.0620251,-1.78657,-3.44533,0.968676,-0.0731228,1.14205,-0.152451,-1.60453,0.684118,-0.34266,-0.903653,-0.124643,-2.08472,-1.61287,-0.985198,0.65962,1.83565,0.731114,2.0185,-1552.63,-1381.97,-1304.74,-2034.37,-1953.03,0.17407,0.00612493,0.020249,159.523,450.069,0.0231491,74.8677,0.00377271,0.409476,0.0951084,0.104068,0.345417,0.180655,2.05738,1.08296,0.742383,0.681782,0.00986779,0.0333296,0.0196303,0.0106425,0.0112608,0.00427604,0.00780215,0.00804948,0.00739839,0.00676301,1.08611,18.8421,6.29671,2.36724,2.46025,0.612834,1.11082,1.45457,0.96553,1.43908,0.0207428,0.0264915,0.0112642,0.0213447,0.0599313,1.39823,6.89969,4.29633,0.590242,0.668368,0.00214615,0.0478164,0.00975757,0.00690192,0.0103142,1.08611,18.8421,6.29671,2.36724,2.46025,0.612834,1.11082,1.45457,0.96553,1.43908,0.0207428,0.0264915,0.0112642,0.0213447,0.0599313,0.00377271,0.409476,0.0951084,0.104068,0.345416,0.184428,2.46685,1.17807,0.846449,1.0272,0.180655,2.05738,1.08296,0.742382,0.681781,0.184428,2.46685,1.17807,0.846449,1.0272,0.190406,194.523,9.45044e-273,9.45044e-273,2.4364,5.69987,4.51105,0.60449,0.27063,0.188343,2.4726,1.19755,0.871169,1.16147,-1.61782,-2.38982,-1.01962,-0.633228,0.224637,4.15996,3.93396,2.18352,2.40398,0.649165
-44.7093,0.999896,0.012659,8,255,0,62.4625,-1.28759,0.670901,0.310508,-0.127254,-1.53827,0.494429,1.02678,-0.0920906,-0.399505,-1.16126,1.91118,-0.904572,1.15044,0.821876,-0.709363,1.46172,0.94672,0.36561,1.86365,0.612759,-1.21102,0.207715,0.343372,0.279452,0.8862,0.507764,0.505646,-0.152487,-0.500702,0.914294,0.242798,2.36756,-0.0360653,0.032834,-0.759994,-1.47636,1.75278,-0.018141,1.18071,-1.88014,2.47804,1.68872,0.65774,-0.165806,-1.99864,-1.85373,-1.41642,-1557.09,-1375.75,-1304.3,-2035.31,-1988.01,0.1872,0.0108877,0.0259987,233.084,570.392,0.0138044,37.6653,0.0015484,0.458786,0.0584861,0.0654501,0.216258,0.184249,2.00991,1.13421,0.759406,0.639182,0.009426,0.0236367,0.0156728,0.0109387,0.0165443,0.00479824,0.0109974,0.00819275,0.00717401,0.0113511,2.17792,28.056,6.32616,1.91112,2.01157,0.628413,1.34608,1.51476,1.19557,0.960633,0.0538714,0.0436978,0.0142045,0.0194004,0.0224548,2.62449,8.24982,3.47705,0.800962,1.16846,0.00189351,0.0168718,0.00890953,0.00656389,0.00395795,2.17792,28.056,6.32616,1.91112,2.01157,0.628413,1.34608,1.51476,1.19557,0.960633,0.0538714,0.0436978,0.0142045,0.0194004,0.0224548,0.0015484,0.458786,0.0584861,0.0654501,0.216258,0.185797,2.4687,1.1927,0.824855,0.85544,0.184249,2.00991,1.13421,0.759405,0.639182,0.185797,2.4687,1.1927,0.824855,0.85544,17134.6,14406.8,1.56465e-273,1.56465e-273,1.95845,7.99894,4.73519,0.764261,2.462,0.186958,2.47248,1.21276,0.826989,0.836442,-6.74692,-0.976754,-1.10533,0.749646,-0.552847,4.60905,3.69651,1.90742,2.84653,1.31431
-45.1693,1,0.0126882,8,255,0,62.3796,1.79311,-0.6841,-0.182432,0.486678,0.780741,2.01274,-0.811669,0.580889,-0.0253005,0.365832,1.35197,0.943742,-0.138576,-0.603176,1.52437,0.0455998,-0.906062,0.477921,-0.30122,-0.557417,-0.898834,2.71847,1.37199,-0.0646177,-0.831239,-0.0478943,0.850921,-0.2667,0.222094,-1.25701,-2.47287,1.73916,-0.252728,1.36786,-0.449763,-2.18312,-0.148206,-0.888687,-0.986234,-0.162065,-1.76799,-2.28011,-1.49351,-0.279646,2.10043,1.709,2.57619,-1549.7,-1379.68,-1304.94,-2027.08,-1956.94,0.191452,0.00706151,0.0205736,175.594,393.77,0.0281496,83.7019,0.00544979,0.41564,0.0872946,0.076887,0.292389,0.181952,2.0533,1.05723,0.748733,0.733733,0.00977578,0.0343669,0.0199191,0.0107054,0.0121187,0.00450418,0.0117924,0.00806277,0.00746349,0.00748576,1.30481,23.4616,6.1559,2.47268,2.2294,0.547171,0.956457,1.35864,0.957389,1.42674,0.0221635,0.0239431,0.0104842,0.0191465,0.0641352,1.39237,7.94657,4.17358,0.673497,0.749283,0.00243066,0.023359,0.0115975,0.00803775,0.0109865,1.30481,23.4616,6.1559,2.47268,2.2294,0.547171,0.956457,1.35864,0.957389,1.42674,0.0221635,0.0239431,0.0104842,0.0191465,0.0641352,0.00544978,0.41564,0.0872946,0.0768869,0.292388,0.187401,2.46894,1.14452,0.825619,1.02612,0.181952,2.0533,1.05723,0.748732,0.733732,0.187401,2.46894,1.14452,0.825619,1.02612,6.41256,149.528,3.08893e-272,3.08893e-272,1.07542,9.39053,3.47889,0.516192,0.807763,0.187993,2.471,1.20668,0.8217,0.893125,-1.59385,-1.09429,-0.994152,0.212172,0.162283,4.86889,3.65821,2.2793,2.84572,0.668065
-43.941,0.999998,0.0129079,8,255,0,64.944,-1.95618,-0.589214,-0.29975,-0.289262,-0.72121,1.34117,0.71441,-0.615518,-0.649885,-0.589013,2.38022,-0.851565,0.681864,0.0521822,-1.15625,1.14126,1.17455,0.311456,1.07123,0.0471287,-2.27036,0.741401,0.285848,0.181054,-0.454905,-0.192211,-1.08709,0.329465,-0.382483,1.69662,-0.953071,1.97768,0.963884,-0.975329,-0.634139,-1.87307,1.67987,0.99359,0.824168,-1.44663,2.24814,1.60213,1.01739,1.07233,-1.72709,-2.32621,-1.28627,-1558.69,-1379.41,-1305.09,-2037.48,-1977.06,0.185183,0.00929195,0.0232178,218.614,596.983,0.0125597,38.6586,0.00372417,0.451455,0.0360795,0.0577978,0.244786,0.186176,2.01115,1.10623,0.753641,0.620266,0.00832975,0.025594,0.015464,0.0108715,0.0129742,0.0044308,0.00797025,0.00876469,0.00722057,0.0131881,1.73806,25.1095,7.17502,1.57326,2.09725,0.581431,1.32855,1.71888,1.15266,1.06146,0.0513421,0.043128,0.0149443,0.0223887,0.0240715,1.60259,7.90877,4.47729,0.604508,0.904139,0.0017958,0.0249081,0.00648446,0.00538415,0.00286595,1.73806,25.1095,7.17502,1.57326,2.09725,0.581431,1.32855,1.71888,1.15266,1.06146,0.0513421,0.043128,0.0149443,0.0223887,0.0240715,0.00372416,0.451455,0.0360795,0.0577977,0.244786,0.1899,2.46261,1.14231,0.811438,0.865052,0.186176,2.01115,1.10623,0.75364,0.620266,0.1899,2.46261,1.14231,0.811438,0.865052,273.251,6301.67,8.18999e-274,8.18999e-274,2.14259,7.04482,3.93405,0.536428,1.39308,0.184997,2.46424,1.13461,0.824904,0.938613,-2.47009,-1.11605,-1.07626,-0.452267,-0.0483233,4.70164,4.15285,2.25926,2.68346,1.40186
