measurement_type,target_id,experiment_id,measurement,error_scale
mic,6pgc_c,Evo04Evo01EP,0.664725857,0.360471142
flux,G6PDH2r,Evo04Evo01EP,0.188050845,0.002993350
mic,6pgc_c,Evo04pgiEvo01EP,8.482048509,0.121705576
flux,G6PDH2r,Evo04pgiEvo01EP,2.462704705,0.006270476
mic,6pgc_c,Evo04ptsHIcrrEvo01EP,3.977995523,0.266665063
flux,G6PDH2r,Evo04ptsHIcrrEvo01EP,1.157005287,0.038771772
mic,6pgc_c,Evo04sdhCBEvo01EP,0.847520333,0.214871080
flux,G6PDH2r,Evo04sdhCBEvo01EP,0.824663441,0.023155893
mic,6pgc_c,Evo04tpiAEvo01EP,0.613221178,0.512390769
flux,G6PDH2r,Evo04tpiAEvo01EP,0.917131173,0.079030554
